Player,Squad,Minutes played,90s,Goals conceded,Shots on Target conceded,Saves,Save percentage,Clean sheets,Clean sheets percentage,Penalties faced,Penalties conceded,Penalties saved,Penalties missed by opponent,Penalties save percentage
Melissa Barbieri,Melb City,115,1.3,0.78,1.54,1.54,50,0,0,0,0,0,0,0
Jasmine Black,Sydney FC,469,5.2,0.58,4.42,3.85,87,0.58,60,0,0,0,0,0
Alyssa Dall'Oste,Western United,720,8,1.5,3.88,2.63,64.5,0.25,25,0.13,0.13,0,0,0
Casey Dumont,Perth Glory,"1,530",17,1.71,4.59,2.88,64.1,0.12,11.8,0.18,0.06,0.06,0.06,50
Brianna Edwards,Sydney FC,765,8.5,1.18,4.59,3.41,76.9,0.35,37.5,0.12,0.12,0,0,0
Aimee Feinberg-Danieli,Wellington Phoenix,45,0.5,0,2,2,100,0,0,0,0,0,0,0
Tahlia Franco,Sydney FC,495,5.5,1.64,4.36,2.73,66.7,0,0,0.18,0.18,0,0,0
Aimee Hall,W Sydney,136,1.5,3.31,9.33,6,64.3,0,0,0,0,0,0,0
Sally James,Canberra Utd,"2,059",22.9,1.36,4.98,3.71,72.8,0.22,21.7,0.04,0,0.04,0,100
Claudia Jenkins,Adelaide Utd,"1,980",22,1.27,4.82,3.64,74.5,0.32,31.8,0.05,0.05,0,0,0
Sham Khamis,W Sydney,"1,788",19.9,1.76,6.43,4.82,75.8,0,0,0.2,0.2,0,0,0
Danielle Krzyzaniak,Newcastle Jets,"1,338",14.9,2.56,7.38,4.83,66.4,0.07,6.3,0.07,0.07,0,0,0
Sarah Langman,Central Coast Mariners,"2,070",23,1.09,5.17,4.04,79,0.26,26.1,0.13,0,0.04,0.09,100
Chloe Lincoln,Western United,"1,350",15,2.27,5.07,2.8,56.6,0.13,13.3,0.13,0.07,0,0.07,0
Coco Majstorovic,Canberra Utd,11,0.1,0,20,20,100,0,0,0,0,0,0,0
Bethany Mason-Jones,Sydney FC,341,3.8,1.85,5,2.89,63.2,0,0,0.26,0,0.26,0,100
Ilona Melegh,Adelaide Utd,90,1,2,6,4,66.7,0,0,0,0,0,0,0
Malena Mieres,Melb City,"1,955",21.7,0.97,3.82,2.81,77.1,0.32,31.8,0.14,0.09,0.05,0,33.3
Brooke Neary,Wellington Phoenix,6,0.1,0,20,20,100,0,0,0,0,0,0,0
Courtney Newbon,Melb Victory,"2,070",23,0.91,3.83,2.96,77.3,0.48,47.8,0.04,0.04,0,0,0
Keeley Richards,Brisbane Roar,607,6.7,2.97,7.46,4.48,62,0,0,0.15,0.15,0,0,0
Tiahna Robertson,Newcastle Jets,730,8.1,1.85,5.43,3.58,65.9,0.25,28.6,0.12,0,0,0.12,0
Keely Segavcic,W Sydney,144,1.6,3.75,11.3,7.5,72.2,0,0,0.63,0.63,0,0,0
Olivia Sekany,Brisbane Roar,"1,463",16.3,1.35,4.17,2.82,69.1,0.37,35.3,0.06,0.06,0,0,0
Miranda Templeman,Perth Glory,540,6,2.33,6,3.67,63.9,0,0,0.17,0.17,0,0,0
Carolina Vilão,Wellington Phoenix,"2,019",22.4,1.34,4.51,3.17,72.3,0.18,17.4,0.18,0.09,0.09,0,50
